team_name,team_code,team_founded,team_logo,venue_name,venue_address,venue_city,venue_capacity,venue_image,team_age
RÁPIDO BOUZAS,,1917.0,https://media.api-sports.io/football/teams/5276.png,Estadio Baltasar Pujales,Bouzas,Vigo,1500.0,https://media.api-sports.io/football/venues/3990.png,108.0
SANT ANDREU,SAN,1909.0,https://media.api-sports.io/football/teams/5277.png,Camp Municipal Narcís Sala,"Carrer Santa Coloma 39, San Andrés de Palomar",Barcelona,6563.0,https://media.api-sports.io/football/venues/3991.png,116.0
TERUEL,,1945.0,https://media.api-sports.io/football/teams/5278.png,Estadio La Pinila,Marcos Peña Royo,Teruel,5000.0,https://media.api-sports.io/football/venues/3992.png,80.0
TUDELANO,TUD,1935.0,https://media.api-sports.io/football/teams/5279.png,Estadio Municipal Ciudad de Tudela,Avenida de las Merindades,Tudela,11000.0,https://media.api-sports.io/football/venues/3993.png,90.0
UD LOGROÑÉS,LOG,1967.0,https://media.api-sports.io/football/teams/5280.png,Estadio Nuevo Municipal Las Gaunas,Avenida de la Sierra,Logroño,16000.0,https://media.api-sports.io/football/venues/3994.png,58.0
UNIONISTAS DE SALAMANCA,,2013.0,https://media.api-sports.io/football/teams/5281.png,Campo de Futbol Reina Sofía,Av. Carlos I,Salamanca,4895.0,https://media.api-sports.io/football/venues/19230.png,12.0
VILLANOVENSE,VIL,1992.0,https://media.api-sports.io/football/teams/5282.png,Estadio Municipal Villanovense,Avenida de los Deportes,Villanueva de la Serena,7145.0,https://media.api-sports.io/football/venues/3996.png,33.0
YECLANO,,2004.0,https://media.api-sports.io/football/teams/5283.png,Estadio Municipal La Constitución,Calle de la Cruz Piedra 148,Yecla,4700.0,https://media.api-sports.io/football/venues/3997.png,21.0
DEPORTIVO DE LA CORUÑA W,,,https://media.api-sports.io/football/teams/6376.png,Ciudad Deportiva de Abegondo,"Agra de Marces, San Tirso de Mabegondo, Abegondo",A Coruña (La Coruña),2000.0,https://media.api-sports.io/football/venues/22054.png,
TACÓN W,,,https://media.api-sports.io/football/teams/6377.png,,,,,,
MORA,,,https://media.api-sports.io/football/teams/6688.png,Estadio Las Delicias,Calle Yegros,Mora,1550.0,https://media.api-sports.io/football/venues/4884.png,
ANTONIANO,,,https://media.api-sports.io/football/teams/7522.png,Estadio Municipal,Calle Bucaro / Calle de Salvador Allende,Lebrija,3500.0,https://media.api-sports.io/football/venues/5459.png,
ATLÉTICO PORCUNA,,,https://media.api-sports.io/football/teams/7523.png,Estadio Municipal San Benito,Calle Aviador Modesto Aguilera 117,Porcuna,1200.0,https://media.api-sports.io/football/venues/5460.png,
MELILLA CD,,,https://media.api-sports.io/football/teams/7524.png,Estadio La Espiguera,Calle Alfonso X,Melilla,2000.0,https://media.api-sports.io/football/venues/5461.png,
RAMÓN Y CAJAL,,,https://media.api-sports.io/football/teams/7525.png,,,,,,
ATLÉTICO MADRID U19,MAD,,https://media.api-sports.io/football/teams/7884.png,Cerro del Espino Campo Artificial,Avenida del Principe de Asturias,Majadahonda,2000.0,https://media.api-sports.io/football/venues/21262.png,
BARCELONA U19,BAR,,https://media.api-sports.io/football/teams/7885.png,Camp 1 del Ciutat Esportiva Joan Gamper,,Sant Joan Despí,1512.0,https://media.api-sports.io/football/venues/21263.png,
DOMŽALE U19,,,https://media.api-sports.io/football/teams/7897.png,,,,,,
ELFSBORG U19,,,https://media.api-sports.io/football/teams/7899.png,,,,,,
MIDTJYLLAND U19,,,https://media.api-sports.io/football/teams/7915.png,Wunderelf Arena,Stadion Allé 2a,Ikast,12750.0,https://media.api-sports.io/football/venues/21397.png,
MINSK U19,,,https://media.api-sports.io/football/teams/7916.png,,,,,,
REAL MADRID U19,REA,,https://media.api-sports.io/football/teams/7926.png,Estadio Alfredo Di Stéfano,"Ciudad Deportiva del Real Madrid, Valdebebas",Madrid,6500.0,https://media.api-sports.io/football/venues/6669.png,
REAL ZARAGOZA U19,,,https://media.api-sports.io/football/teams/7927.png,,,,,,
SALZBURG U19,,,https://media.api-sports.io/football/teams/7928.png,,,,,,
VIITORUL U19,,,https://media.api-sports.io/football/teams/7939.png,,,,,,
HJK U19,,,https://media.api-sports.io/football/teams/7952.png,,,,,,
LEGIA WARSZAWA U19,,,https://media.api-sports.io/football/teams/7987.png,Legia Training Center,ul. Legionistów 3,Książenice,1000.0,https://media.api-sports.io/football/venues/22294.png,
SABURTALO U19,,,https://media.api-sports.io/football/teams/7992.png,,,,,,
ZIMBRU U19,,,https://media.api-sports.io/football/teams/8000.png,,,,,,
ŽELJEZNIČAR U19,,,https://media.api-sports.io/football/teams/8001.png,,,,,,
ANDRATX,,,https://media.api-sports.io/football/teams/8151.png,Camp Municipal Sa Plana,,Andratx,5000.0,https://media.api-sports.io/football/venues/12462.png,
BARQUEREÑO,,,https://media.api-sports.io/football/teams/8152.png,Estadio El Castañar,,San Vicente de la Barquera,3500.0,https://media.api-sports.io/football/venues/5775.png,
BECERRIL CAMPOS,,1977.0,https://media.api-sports.io/football/teams/8153.png,Estadio Mariano Haro,Paseo Polideportivo,Becerril de Campos,2000.0,https://media.api-sports.io/football/venues/5776.png,48.0
COMILLAS,,,https://media.api-sports.io/football/teams/8154.png,Estadio Mundial 82,"Calle Laguardia, km 1",Logroño,3500.0,https://media.api-sports.io/football/venues/5777.png,
EL PALMAR,,2006.0,https://media.api-sports.io/football/teams/8155.png,Polideportivo Municipal El Palmar,Calle Polideportivo,El Palmar,2000.0,https://media.api-sports.io/football/venues/5778.png,19.0
EL ÁLAMO,,,https://media.api-sports.io/football/teams/8156.png,Estadio Facundo Rivas,"Calle del Arce, 102",El Álamo,4000.0,https://media.api-sports.io/football/venues/5779.png,
FC ANDORRA,,,https://media.api-sports.io/football/teams/8157.png,Estadi Nacional,C/ Baixada del Molí nº33,Andorra la Vella,3306.0,https://media.api-sports.io/football/venues/2618.png,
FRAGA,,,https://media.api-sports.io/football/teams/8158.png,Estadio de La Estacada,Calle del Río Cinca 10,Fraga,3000.0,https://media.api-sports.io/football/venues/5780.png,
GRAN TARAJAL,,,https://media.api-sports.io/football/teams/8159.png,Estadio Municipal de Gran Tarajal,Calle Hierro 59,Gran Tarajal,3000.0,https://media.api-sports.io/football/venues/5781.png,
INTERCITY,,2018.0,https://media.api-sports.io/football/teams/8160.png,Ciudad Deportiva Antonio Solana,Carrer de Barítono Paco La Torre,Alicante,4000.0,https://media.api-sports.io/football/venues/20132.png,7.0
LOBÓN,,,https://media.api-sports.io/football/teams/8161.png,Estadio Municipal de Lobón,,Lobón,1500.0,https://media.api-sports.io/football/venues/10982.png,
PEDROÑERAS,,1964.0,https://media.api-sports.io/football/teams/8162.png,Estadio Municipal de Las Pedroñeras,Avenida de Juan Carlos I,Las Pedroñeras,1000.0,https://media.api-sports.io/football/venues/5783.png,61.0
PEÑA AZAGRESA,,1925.0,https://media.api-sports.io/football/teams/8163.png,Estadio Miguel Sola,Calle Variante,Azagra,1000.0,https://media.api-sports.io/football/venues/5784.png,100.0
PONTELLAS,,,https://media.api-sports.io/football/teams/8164.png,Campo de fútbol de San Campio,Autoestrada do Atlántico,O Porrinno,1500.0,https://media.api-sports.io/football/venues/5785.png,
TOLOSA,,,https://media.api-sports.io/football/teams/8165.png,Estadio de Berazubi,"Kalea Berazubi, 1",Tolosa,3000.0,https://media.api-sports.io/football/venues/5786.png,
URRACA,,1949.0,https://media.api-sports.io/football/teams/8166.png,Campo de La Corredoria,La Riera de Bricia,Posada de Llanes,1700.0,https://media.api-sports.io/football/venues/5787.png,76.0
AMOREBIETA,AMO,1925.0,https://media.api-sports.io/football/teams/9380.png,Campo Municipal de Urritxe,Barrio de Urritxe,Amorebieta-Echano,3000.0,https://media.api-sports.io/football/venues/6482.png,100.0
ATLÉTICO BALEARES,BAL,1942.0,https://media.api-sports.io/football/teams/9381.png,Estadio Balear,"Carrer de Sant Ignasi, 70","Palma de Mallorca, Illes Balears",6000.0,https://media.api-sports.io/football/venues/6483.png,83.0
BADAJOZ,,1905.0,https://media.api-sports.io/football/teams/9382.png,Estadio Municipal Nuevo Vivero,Avenida de la Granadilla,Badajoz,15198.0,https://media.api-sports.io/football/venues/6484.png,120.0
BERGANTIÑOS,,,https://media.api-sports.io/football/teams/9383.png,Estadio As Eiroas,Calle Gran Vía 143,Carballo,5000.0,https://media.api-sports.io/football/venues/6485.png,
CACEREÑO,CAC,1919.0,https://media.api-sports.io/football/teams/9384.png,Estadio Príncipe Felipe,Carretera Rute de La Plata,Cáceres,15000.0,https://media.api-sports.io/football/venues/6486.png,106.0
CORUXO,COR,1930.0,https://media.api-sports.io/football/teams/9385.png,Campo do Vao,"Estrada do Vao, Fontenias",Vigo,1500.0,https://media.api-sports.io/football/venues/6487.png,95.0
